    E, kcal/mol    D, mol/kcal        W1->W2a        W1->W4a         W1->P1
           44.2    2.14919e+13    1.18674e+11    1.30021e+08    1.65297e+12
           44.4    2.18739e+13    1.19594e+11    1.39793e+08    1.66496e+12
           44.6    2.22621e+13    1.20517e+11    1.50106e+08    1.67696e+12
           44.8    2.26563e+13    1.21442e+11    1.61022e+08    1.68897e+12
             45    2.30568e+13     1.2237e+11    1.72556e+08      1.701e+12
           45.2    2.34636e+13    1.23301e+11    1.84732e+08    1.71303e+12
           45.4    2.38768e+13    1.24235e+11    1.97577e+08    1.72507e+12
           45.6    2.42964e+13    1.25171e+11    2.11139e+08    1.73712e+12
           45.8    2.47227e+13     1.2611e+11    2.25429e+08    1.74918e+12
             46    2.51556e+13    1.27052e+11    2.40436e+08    1.76124e+12
           46.2    2.55953e+13    1.27997e+11     2.5614e+08     1.7733e+12
           46.4    2.60418e+13    1.28945e+11      2.726e+08    1.78535e+12
           46.6    2.64953e+13    1.29895e+11     2.8987e+08    1.79741e+12
           46.8    2.69558e+13    1.30847e+11    3.08003e+08    1.80946e+12
             47    2.74234e+13    1.31803e+11    3.27007e+08    1.82152e+12
           47.2    2.78983e+13    1.32761e+11    3.46918e+08    1.83357e+12
           47.4    2.83805e+13    1.33722e+11    3.67765e+08    1.84561e+12
           47.6    2.88702e+13    1.34685e+11    3.89582e+08    1.85765e+12
           47.8    2.93673e+13    1.35651e+11    4.12387e+08    1.86969e+12
             48    2.98721e+13     1.3662e+11    4.36192e+08    1.88172e+12
           48.2    3.03847e+13    1.37591e+11    4.60983e+08    1.89376e+12
           48.4    3.09051e+13    1.38565e+11    4.86813e+08    1.90579e+12
           48.6    3.14334e+13    1.39542e+11    5.13756e+08    1.91783e+12
           48.8    3.19698e+13    1.40521e+11    5.41875e+08    1.92986e+12
             49    3.25143e+13    1.41502e+11    5.71169e+08     1.9419e+12
           49.2    3.30671e+13    1.42486e+11    6.01667e+08    1.95394e+12
           49.4    3.36283e+13    1.43473e+11    6.33421e+08    1.96598e+12
           49.6     3.4198e+13    1.44462e+11    6.66456e+08    1.97802e+12
           49.8    3.47763e+13    1.45453e+11    7.00801e+08    1.99007e+12
    E, kcal/mol    D, mol/kcal        W2a->W1       W2a->W3a       W2a->W4a       W2a->W6c        W2a->P2
            -10      6.659e+09    8.96229e+08    3.69622e+07              0    0.000582255              0
           -9.8    6.90633e+09    9.67865e+08    4.67128e+07              0    0.000740828              0
           -9.6    7.16164e+09    1.04357e+09    5.84806e+07              0    0.000941877              0
           -9.4    7.42535e+09    1.12348e+09    7.25626e+07              0     0.00119656              0
           -9.2    7.69775e+09    1.20773e+09    8.92811e+07              0     0.00151894              0
             -9    7.97904e+09    1.29649e+09    1.08981e+08              0     0.00192671              0
           -8.8    8.26934e+09    1.38995e+09    1.32032e+08              0     0.00244216              0
           -8.6    8.56908e+09    1.48824e+09    1.58823e+08              0     0.00309319              0
           -8.4    8.87815e+09    1.59157e+09    1.89785e+08              0     0.00391505              0
           -8.2     9.1973e+09    1.70002e+09    2.25371e+08              0      0.0049516              0
             -8    9.52654e+09    1.81376e+09    2.66079e+08              0     0.00625814              0
           -7.8    9.86617e+09    1.93294e+09    3.12437e+08              0     0.00790387              0
           -7.6    1.02167e+10    2.05766e+09    3.64985e+08              0     0.00997527              0
           -7.4     1.0578e+10    2.18808e+09    4.24306e+08              0       0.012581              0
           -7.2    1.09507e+10    2.32431e+09    4.90989e+08              0      0.0158564              0
             -7    1.13351e+10    2.46648e+09    5.65662e+08              0      0.0199709              0
           -6.8    1.17314e+10    2.61472e+09    6.48983e+08              0      0.0251361              0
           -6.6      1.214e+10    2.76918e+09    7.41642e+08              0      0.0316162              0
           -6.4    1.25613e+10    2.92995e+09     8.4434e+08              0        0.03974              0
           -6.2    1.29951e+10    3.09734e+09    9.57856e+08              0      0.0499202              0
             -6    1.34425e+10    3.27134e+09    1.08291e+09              0      0.0626663              0
           -5.8    1.39035e+10    3.45217e+09    1.22031e+09              0      0.0786165              0
           -5.6    1.43785e+10    3.64001e+09    1.37088e+09              0      0.0985636              0
           -5.4     1.4868e+10    3.83496e+09    1.53545e+09              0       0.123493              0
           -5.2    1.53721e+10    4.03726e+09    1.71491e+09              0       0.154632              0
             -5    1.58913e+10    4.24705e+09    1.91014e+09              0       0.193504              0
           -4.8    1.64261e+10    4.46442e+09    2.12202e+09              0       0.241997              0
           -4.6     1.6977e+10    4.68951e+09    2.35148e+09              0       0.302456              0
           -4.4     1.7544e+10    4.92255e+09    2.59953e+09              0       0.377797              0
           -4.2    1.81279e+10    5.16359e+09    2.86711e+09              0       0.471619              0
             -4    1.87289e+10    5.41287e+09    3.15529e+09              0       0.588399              0
           -3.8    1.93477e+10    5.67037e+09    3.46501e+09              0       0.733656              0
           -3.6    1.99846e+10    5.93631e+09    3.79732e+09              0       0.914239              0
           -3.4      2.064e+10    6.21082e+09    4.15329e+09              0        1.13862              0
           -3.2    2.13145e+10    6.49403e+09    4.53397e+09              0        1.41725              0
             -3    2.20086e+10    6.78605e+09    4.94042e+09              0        1.76305              0
           -2.8    2.27227e+10    7.08708e+09    5.37378e+09              0        2.19201              0
           -2.6    2.34571e+10    7.39727e+09    5.83518e+09              0        2.72382              0
           -2.4    2.42128e+10    7.71671e+09    6.32569e+09              0        3.38276              0
           -2.2    2.49898e+10    8.04562e+09    6.84651e+09              0        4.19883              0
             -2    2.57894e+10    8.38397e+09    7.39862e+09              0        5.20885              0
           -1.8    2.66115e+10    8.73209e+09    7.98333e+09              0        6.45838              0
           -1.6    2.74564e+10    9.09017e+09    8.60186e+09              0        8.00347              0
           -1.4    2.83253e+10    9.45817e+09    9.25525e+09              0        9.91284              0
           -1.2    2.92189e+10    9.83619e+09    9.94463e+09              0        12.2712              0
             -1    3.01374e+10    1.02245e+10    1.06713e+10              0        15.1826              0
           -0.8    3.10814e+10    1.06231e+10    1.14365e+10              0        18.7751              0
           -0.6    3.20514e+10    1.10323e+10    1.22415e+10              0        23.2058              0
           -0.4    3.30482e+10    1.14522e+10    1.30875e+10              0        28.6676              0
           -0.2    3.40731e+10    1.18825e+10    1.39755e+10              0        35.3962              0
   -6.93946e-15    3.51258e+10    1.23239e+10     1.4907e+10              0        43.6826              0
            0.2    3.62073e+10    1.27761e+10    1.58833e+10              0         53.882              0
            0.4    3.73185e+10    1.32395e+10    1.69054e+10              0        66.4297              0
            0.6    3.84596e+10    1.37142e+10    1.79749e+10              0        81.8598              0
            0.8    3.96321e+10       1.42e+10    1.90926e+10              0        100.823              0
              1    4.08362e+10    1.46974e+10    2.02602e+10              0         124.12              0
            1.2    4.20725e+10    1.52064e+10     2.1479e+10              0        152.728              0
            1.4    4.33422e+10    1.57271e+10    2.27501e+10              0        187.839              0
            1.6     4.4646e+10    1.62595e+10    2.40747e+10              0         230.91              0
            1.8    4.59843e+10     1.6804e+10    2.54545e+10              0        283.727              0
              2    4.73584e+10    1.73605e+10    2.68904e+10              0         348.46              0
            2.2    4.87688e+10    1.79291e+10     2.8384e+10              0        427.764         801665
            2.4    5.02165e+10      1.851e+10    2.99365e+10              0        524.874    2.84083e+07
            2.6    5.17028e+10    1.91031e+10     3.1549e+10              0        643.729    1.26155e+08
            2.8    5.32276e+10    1.97089e+10    3.32233e+10              0        789.146    3.42551e+08
              3    5.47923e+10    2.03272e+10    3.49607e+10              0        966.977    7.20145e+08
            3.2    5.63978e+10    2.09582e+10    3.67622e+10              0        1184.35    1.28258e+09
            3.4    5.80454e+10    2.16018e+10    3.86292e+10              0        1449.92    2.07171e+09
            3.6    5.97356e+10    2.22584e+10    4.05631e+10              0        1774.27    3.08182e+09
            3.8    6.14697e+10    2.29278e+10    4.25652e+10              0         2170.2    4.34571e+09
              4    6.32478e+10    2.36105e+10    4.46374e+10              0        2653.34    5.90298e+09
            4.2    6.50719e+10    2.43063e+10    4.67803e+10              0        3242.59    7.77693e+09
            4.4    6.69431e+10    2.50152e+10    4.89952e+10              0        3960.94    9.98479e+09
            4.6    6.88617e+10    2.57376e+10    5.12842e+10              0        4836.35    1.25274e+10
            4.8    7.08292e+10    2.64734e+10     5.3648e+10              0        5902.63    1.53994e+10
              5    7.28465e+10    2.72228e+10    5.60882e+10              0        7200.85    1.86353e+10
            5.2    7.49147e+10    2.79859e+10    5.86063e+10              0        8780.74    2.22308e+10
            5.4    7.70353e+10    2.87625e+10    6.12032e+10              0        10702.5    2.61516e+10
            5.6    7.92093e+10    2.95529e+10    6.38805e+10              0        13038.9    3.04433e+10
            5.8    8.14374e+10    3.03574e+10    6.66398e+10              0        15878.4    3.51512e+10
              6    8.37215e+10    3.11756e+10    6.94819e+10              0        19327.2     4.0316e+10
            6.2    8.60623e+10     3.2008e+10    7.24086e+10              0          23514    4.59064e+10
            6.4    8.84611e+10    3.28545e+10    7.54211e+10              0          28594    5.19544e+10
            6.6    9.09196e+10     3.3715e+10    7.85205e+10              0        34754.1    5.84734e+10
            6.8    9.34385e+10      3.459e+10    8.17086e+10              0        42219.2    6.54546e+10
              7    9.60197e+10    3.54792e+10    8.49861e+10              0        51259.7    7.29296e+10
            7.2    9.86642e+10    3.63827e+10    8.83547e+10              0        62199.9    8.09268e+10
            7.4    1.01373e+11     3.7301e+10    9.18162e+10              0        75428.6     8.9464e+10
            7.6    1.04148e+11    3.82337e+10    9.53711e+10              0        91409.3    9.85311e+10
            7.8    1.06991e+11    3.91809e+10    9.90207e+10              0         110695    1.08114e+11
              8    1.09902e+11    4.01429e+10    1.02767e+11              0         133942    1.18297e+11
            8.2    1.12884e+11    4.11196e+10     1.0661e+11              0         161927    1.29108e+11
            8.4    1.15938e+11    4.21112e+10    1.10553e+11              0         195565    1.40542e+11
            8.6    1.19065e+11    4.31178e+10    1.14596e+11              0         235929     1.5258e+11
            8.8    1.22267e+11    4.41392e+10     1.1874e+11              0         284267    1.65264e+11
              9    1.25545e+11    4.51756e+10    1.22986e+11              0         342025    1.78634e+11
            9.2    1.28902e+11     4.6227e+10    1.27337e+11              0         410859    1.92725e+11
            9.4    1.32339e+11    4.72935e+10    1.31792e+11              0         492659    2.07525e+11
            9.6    1.35856e+11    4.83753e+10    1.36354e+11              0         589551    2.23075e+11
            9.8    1.39457e+11    4.94724e+10    1.41024e+11              0         703910    2.39358e+11
             10    1.43143e+11    5.05845e+10    1.45802e+11              0         838354    2.56416e+11
           10.2    1.46915e+11    5.17121e+10     1.5069e+11              0         995750    2.74285e+11
           10.4    1.50776e+11     5.2855e+10     1.5569e+11              0     1.1792e+06    2.92967e+11
           10.6    1.54727e+11    5.40132e+10    1.60801e+11              0    1.39204e+06    3.12475e+11
           10.8     1.5877e+11    5.51871e+10    1.66027e+11              0    1.63783e+06    3.32856e+11
             11    1.62906e+11    5.63764e+10    1.71367e+11              0    1.92034e+06    3.54096e+11
           11.2    1.67139e+11    5.75812e+10    1.76823e+11              0     2.2436e+06    3.76043e+11
           11.4    1.71469e+11    5.88017e+10    1.82396e+11              0    2.61186e+06    3.98513e+11
           11.6    1.75899e+11    6.00378e+10    1.88087e+11              0    3.02965e+06    4.21577e+11
           11.8    1.80431e+11    6.12895e+10    1.93897e+11              0    3.50176e+06    4.45337e+11
